,Age,Events,Rounds,Cuts_Made,Top_10s,Wins,Earnings,Yards/Drive,Driving_Accuracy,Greens_in_Regulation,Putting_Average,Sand_Save_Pct,Eagles,Birdies,Pars,Bogies
count,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
mean,35.37433155080215,22.784999999999997,72.18,14.464999999999998,2.61,0.225,1540167.0450000002,291.1284023668639,60.333136094674565,65.80059171597632,1.7724260355029584,49.937278106508856,6.353846153846153,259.32820512820507,832.7076923076925,192.32307692307688
std,6.35470125162475,5.971800946285473,19.629217208648413,4.628111481787195,2.4048043812646247,0.5063844721600969,1360891.6216408543,7.714473491776524,4.514873880660478,2.300396086199885,0.019777420978945776,4.910457631341595,3.1285425642883014,71.64936020061812,215.30923575675226,48.02407136661207
min,22.0,4.0,14.0,3.0,0.0,0.0,277118.0,269.7,43.0,54.5,1.71,38.2,1.0,47.0,164.0,25.0
25%,31.0,20.5,64.5,11.0,1.0,0.0,631809.0,287.3,57.95,64.6,1.76,46.4,4.0,223.5,742.0,170.0
50%,35.37433155080214,24.0,75.0,14.465,2.0,0.0,1168073.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.937278106508884,6.0,263.0,855.0,199.0
75%,39.0,27.0,86.0,18.0,3.0,0.0,1782270.5,294.75,62.8,67.2,1.78,53.0,8.0,305.0,990.0,223.0
max,55.0,34.0,111.0,25.0,15.0,3.0,9365185.0,314.5,73.4,71.6,1.84,62.4,16.0,400.0,1278.0,288.0
